misspelled,correct
accomodate,accommodate
acheive,achieve
aquire,acquire
adress,address
agressive,aggressive
alot,a lot
aparent,apparent
arguement,argument
awsome,awesome
basicly,basically
beatiful,beautiful
becuase,because
beleive,believe
buisness,business
calender,calendar
camoflage,camouflage
catagory,category
cemetary,cemetery
chauffer,chauffeur
collegue,colleague
comming,coming
commitee,committee
competetive,competitive
concious,conscious
curiousity,curiosity
dacquiri,daiquiri
decieve,deceive
definate,definite
descibe,describe
desparate,desperate
develope,develop
diffrent,different
dilemna,dilemma
dissapoint,disappoint
ecstacy,ecstasy
embarass,embarrass
enviroment,environment
existance,existence
experiance,experience
farenheit,fahrenheit
fifteenth,fifteenth
flourescent,fluorescent
foriegn,foreign
freind,friend
fullfil,fulfill
goverment,government
gaurd,guard
guage,gauge
gaurantee,guarantee
greatful,grateful
harrass,harass
heirarchy,hierarchy
hygeine,hygiene
hypocrite,hypocrite
imediate,immediate
independant,independent
indespensable,indispensable
intelligance,intelligence
intresting,interesting
irresistable,irresistible
jeopardy,jeopardy
judgement,judgment
knowlege,knowledge
labratory,laboratory
liesure,leisure
liason,liaison
libary,library
lightening,lightning
maintainance,maintenance
manoeuver,maneuver
millenium,millennium
miniscule,minuscule
mischievious,mischievous
misspell,misspell
neccessary,necessary
noticable,noticeable
occured,occurred
occassion,occasion
oppurtunity,opportunity
outrageous,outrageous
parliment,parliament
perseverence,perseverance
persistant,persistent
pharoah,pharaoh
playwrite,playwright
pnuemonia,pneumonia
posession,possession
prefered,preferred
presense,presence
privelege,privilege
proffesional,professional
pronounciation,pronunciation
publically,publicly
quarentine,quarantine
questionaire,questionnaire
readible,readable
recieve,receive
recomend,recommend
refered,referred
relevent,relevant
religous,religious
remeber,remember
rythm,rhythm
sacriligious,sacrilegious
saparate,separate
sargent,sergeant
sceduled,scheduled
seperate,separate
seige,siege
sensative,sensitive
sentance,sentence
seperate,separate
sheild,shield
sieze,seize
similer,similar
sincerely,sincerely
speach,speech
succesful,successful
supercede,supersede
suprise,surprise
tendancy,tendency
threshhold,threshold
tommorow,tomorrow
tounge,tongue
truely,truly
twelfth,twelfth
tyrany,tyranny
underate,underrate
untill,until
useable,usable
vaccum,vacuum
vegtable,vegetable
vehical,vehicle
visable,visible
warrenty,warranty
wierd,weird
wellfare,welfare
wether,whether
whereever,wherever
wilfull,willful
withhold,withhold
writeing,writing
yatch,yacht
yeild,yield
improvment,improvement
indepedent,independent
insistant,insistent
ligtning,lightning
manuever,maneuver
mischieveous,mischievous
occurence,occurrence
panick,panic
paralell,parallel
pasttime,pastime
pavillion,pavilion
peice,piece
percieve,perceive
permanant,permanent
personell,personnel
plagerism,plagiarism
preceeding,preceding
preceed,precede
priveledge,privilege
propoganda,propaganda
psycology,psychology
purposfully,purposefully
que,queue
questionaire,questionnaire
recieve,receive
reconize,recognize
refridgerator,refrigerator
religous,religious
rythym,rhythm
saftey,safety
sceptical,skeptical
secratary,secretary
seige,siege
sentance,sentence
seperate,separate
sergeant,sergeant
sieze,seize
sovereignity,sovereignty
succesfully,successfully
supercede,supersede
suprise,surprise
tatoo,tattoo
temperture,temperature
theif,thief
tomatos,tomatoes
tommorrow,tomorrow
tounge,tongue
truely,truly
unforseen,unforeseen
unfortunatly,unfortunately
untill,until
usualy,usually
vaccuum,vacuum
vegatable,vegetable
visious,vicious
wether,whether
withold,withhold